Rashi,Nakshatra,Nakshatra lord,Vimshottari dasa (yrs),Pada,Start,End,Snippet
Sagittarius,Purva Ashada,Venus,5,P2,256.666667000000,260,Kingly
Sagittarius,Purva Ashada,Venus,5,P3,260,263.333333000000,Eloquent in speech
Sagittarius,Purva Ashada,Venus,5,P4,263.333333000000,266.666667000000,Wealthy
Sagittarius,Uttar Ashada,Sun,1.5,P1,266.666667000000,270,Lordly
Capricorn,Uttar Ashada,Sun,1.5,P2,270,273.333333000000,Inimical (even) to friends
Capricorn,Uttar Ashada,Sun,1.5,P3,273.333333000000,276.666667000000,Honourable
Capricorn,Uttar Ashada,Sun,1.5,P4,276.666667000000,280,Religious
Capricorn,Shravan,Moon,2.5,P1,280,283.333333000000,Highly honourable
Capricorn,Shravan,Moon,2.5,P2,283.333333000000,286.666667000000,Endowed with virtues
Capricorn,Shravan,Moon,2.5,P3,286.666667000000,290,Scholar
Capricorn,Shravan,Moon,2.5,P4,290,293.333333000000,Charitable
Capricorn,Dhanistha,Mars,1.75,P1,293.333333000000,296.666667000000,Enjoys longevity
Capricorn,Dhanistha,Mars,1.75,P2,296.666667000000,300,Scholar
Aquarius,Dhanistha,Mars,1.75,P3,300,303.333333000000,Timid in disposition
Aquarius,Dhanistha,Mars,1.75,P4,303.333333000000,306.666667000000,Under the influence of a great woman
Aquarius,Satabhisha,Rahu,4.5,P1,306.666667000000,310,Eloquent in speech
Aquarius,Satabhisha,Rahu,4.5,P2,310,313.333333000000,Wealthy
Aquarius,Satabhisha,Rahu,4.5,P3,313.333333000000,316.666667000000,Endowed with happiness
Aquarius,Satabhisha,Rahu,4.5,P4,316.666667000000,320,Male offspring
Aquarius,Purva Bhadrapada,Jupiter,4,P1,320,323.333333000000,Valorous
Aquarius,Purva Bhadrapada,Jupiter,4,P2,323.333333000000,326.666667000000,Tendency to use other's wealth
Aquarius,Purva Bhadrapada,Jupiter,4,P3,326.666667000000,330,Possesses great intelligence
Pisces,Purva Bhadrapada,Jupiter,4,P4,330,333.333333000000,Enjoys pleasures
Pisces,Uttar Bhadrapada,Saturn,4.75,P1,333.333333000000,336.666667000000,Kingly
Pisces,Uttar Bhadrapada,Saturn,4.75,P2,336.666667000000,340,Tendency to use other's wealth
Pisces,Uttar Bhadrapada,Saturn,4.75,P3,340,343.333333000000,Male issues
Pisces,Uttar Bhadrapada,Saturn,4.75,P4,343.333333000000,346.666667000000,Happy
Pisces,Revati,Mercury,4.25,P1,346.666667000000,350,Spiritual wisdom
Pisces,Revati,Mercury,4.25,P2,350,353.333333000000,Tendency to use other's wealth
Pisces,Revati,Mercury,4.25,P3,353.333333000000,356.666667000000,Winner in battles
Pisces,Revati,Mercury,4.25,P4,356.666667000000,360,Incurring grief
